Subject_group_Ger,Subject_group_EN,Subject_area_Ger,Subject_area_EN,Subject_Ger,Subject_EN,Subject_code
"Kunst, Kunstwissenschaft","Art, Art Theory","Kunst, Kunstwissenschaft allgemein","Art, Art Theory (general)",Kunsterziehung,Arts Education,91
"Kunst, Kunstwissenschaft","Art, Art Theory","Kunst, Kunstwissenschaft allgemein","Art, Art Theory (general)","Kunstgeschichte, Kunstwissenschaft","Art History, Art Theory",92
"Kunst, Kunstwissenschaft","Art, Art Theory","Kunst, Kunstwissenschaft allgemein","Art, Art Theory (general)",Restaurierungskunde,Restoration Studies,101
"Kunst, Kunstwissenschaft","Art, Art Theory",Bildende Kunst,Fine Arts,Bildende Kunst/Grafik,Fine Arts/Graphics,23
"Kunst, Kunstwissenschaft","Art, Art Theory",Bildende Kunst,Fine Arts,Bildhauerei/Plastik,Sculpting/Statuary Art,205
"Kunst, Kunstwissenschaft","Art, Art Theory",Bildende Kunst,Fine Arts,Malerei,Painting,204
"Kunst, Kunstwissenschaft","Art, Art Theory",Bildende Kunst,Fine Arts,Neue Medien,New Media,287
"Kunst, Kunstwissenschaft","Art, Art Theory",Gestaltung,Design,Angewandte Kunst,Applied Art,7
"Kunst, Kunstwissenschaft","Art, Art Theory",Gestaltung,Design,Edelstein- und Schmuckdesign,Gemstone and Jewellery Design,159
"Kunst, Kunstwissenschaft","Art, Art Theory",Gestaltung,Design,Grafikdesign/Kommunikations-gestaltung,Graphic Design/Communication Design,69
"Kunst, Kunstwissenschaft","Art, Art Theory",Gestaltung,Design,Industriedesign/Produktgestaltung,Industrial Design/Product Design,203
"Kunst, Kunstwissenschaft","Art, Art Theory",Gestaltung,Design,Textilgestaltung,Textile Design,116
"Kunst, Kunstwissenschaft","Art, Art Theory",Gestaltung,Design,Werkerziehung,Handicrafts Education,176
"Kunst, Kunstwissenschaft","Art, Art Theory","Darstellende Kunst, Film und Fernsehen, Theaterwissenschaften","Performing Arts, Film and Television Studies, Theatre Studies",Darstellende Kunst/Bühnenkunst/Regie,Performing Arts/Stagecraft/Directing,35
"Kunst, Kunstwissenschaft","Art, Art Theory","Darstellende Kunst, Film und Fernsehen, Theaterwissenschaften","Performing Arts, Film and Television Studies, Theatre Studies",Film und Fernsehen,Film and Television Studies,54
"Kunst, Kunstwissenschaft","Art, Art Theory","Darstellende Kunst, Film und Fernsehen, Theaterwissenschaften","Performing Arts, Film and Television Studies, Theatre Studies",Schauspiel,Drama Studies,102
"Kunst, Kunstwissenschaft","Art, Art Theory","Darstellende Kunst, Film und Fernsehen, Theaterwissenschaften","Performing Arts, Film and Television Studies, Theatre Studies",Tanzpädagogik,Dance Education,106
"Kunst, Kunstwissenschaft","Art, Art Theory","Darstellende Kunst, Film und Fernsehen, Theaterwissenschaften","Performing Arts, Film and Television Studies, Theatre Studies",Theaterwissenschaft,Theatre Studies,155
"Kunst, Kunstwissenschaft","Art, Art Theory","Musik, Musikwissenschaft","Music, Musicology",Dirigieren,Conducting,192
"Kunst, Kunstwissenschaft","Art, Art Theory","Musik, Musikwissenschaft","Music, Musicology",Gesang,Singing,230
"Kunst, Kunstwissenschaft","Art, Art Theory","Musik, Musikwissenschaft","Music, Musicology",Instrumentalmusik,Instrumental Music,80
"Kunst, Kunstwissenschaft","Art, Art Theory","Musik, Musikwissenschaft","Music, Musicology",Jazz und Popularmusik,Jazz and Popular Music,164
"Kunst, Kunstwissenschaft","Art, Art Theory","Musik, Musikwissenschaft","Music, Musicology",Kirchenmusik,Church Music,193
"Kunst, Kunstwissenschaft","Art, Art Theory","Musik, Musikwissenschaft","Music, Musicology",Komposition,Composition,191
"Kunst, Kunstwissenschaft","Art, Art Theory","Musik, Musikwissenschaft","Music, Musicology",Musikerziehung,Music Education,113
"Kunst, Kunstwissenschaft","Art, Art Theory","Musik, Musikwissenschaft","Music, Musicology",Musikwissenschaft/-geschichte,Musicology/History of Music,114
"Kunst, Kunstwissenschaft","Art, Art Theory","Musik, Musikwissenschaft","Music, Musicology",Orchestermusik,Orchestral Music,165
"Kunst, Kunstwissenschaft","Art, Art Theory","Musik, Musikwissenschaft","Music, Musicology",Rhythmik,Rhythmics,163
"Kunst, Kunstwissenschaft","Art, Art Theory","Musik, Musikwissenschaft","Music, Musicology",Tonmeister,Sound Engineering,194
Außerhalb der Studienbereichsgliederung,Not specified,Außerhalb der Studienbereichsgliederung,Not specified,Studienkolleg,Foundation Course,196
Außerhalb der Studienbereichsgliederung,Not specified,Außerhalb der Studienbereichsgliederung,Not specified,Sonstige Fächer,Other subjects,290
